CODIGO_DANE_MUNICIPIO;DESC_MUNICIPIO;DESC_DEPARTAMENTO;ZONA
52287;FUNES;NARIÑO;RURAL
25286;FUNZA;CUNDINAMARCA;URBANO
25288;FÚQUENE;CUNDINAMARCA;RURAL
25290;FUSAGASUGÁ;CUNDINAMARCA;URBANO
25293;GACHALÁ;CUNDINAMARCA;RURAL
25295;GACHANCIPÁ;CUNDINAMARCA;URBANO
15293;GACHANTIVÁ;BOYACÁ;RURAL DISPERSO
25297;GACHETÁ;CUNDINAMARCA;RURAL
68296;GALÁN;SANTANDER;RURAL DISPERSO
8296;GALAPA;ATLÁNTICO;URBANO
70235;GALERAS;SUCRE;URBANO
25299;GAMA;CUNDINAMARCA;RURAL DISPERSO
20295;GAMARRA;CESAR;RURAL
68298;GÁMBITA;SANTANDER;RURAL DISPERSO
15296;GÁMEZA;BOYACÁ;RURAL
15299;GARAGOA;BOYACÁ;URBANO
41298;GARZÓN;HUILA;URBANO
63302;GÉNOVA;QUINDIO;RURAL
41306;GIGANTE;HUILA;URBANO
76306;GINEBRA;VALLE DEL CAUCA;URBANO
5306;GIRALDO;ANTIOQUIA;RURAL
25307;GIRARDOT;CUNDINAMARCA;URBANO
5308;GIRARDOTA;ANTIOQUIA;URBANO
68307;GIRÓN;SANTANDER;URBANO
5310;GÓMEZ PLATA;ANTIOQUIA;RURAL
20310;GONZÁLEZ;CESAR;RURAL
54313;GRAMALOTE;NORTE DE SANTANDER;RURAL
5313;GRANADA;ANTIOQUIA;URBANO
25312;GRANADA;CUNDINAMARCA;URBANO
50313;GRANADA;META;URBANO
68318;GUACA;SANTANDER;RURAL
76318;GUACARÍ;VALLE DEL CAUCA;URBANO
19300;GUACHENÉ;CAUCA;URBANO
25317;GUACHETÁ;CUNDINAMARCA;URBANO
52317;GUACHUCAL;NARIÑO;RURAL
76111;GUADALAJARA DE BUGA;VALLE DEL CAUCA;URBANO
5315;GUADALUPE;ANTIOQUIA;URBANO
41319;GUADALUPE;HUILA;RURAL
68320;GUADALUPE;SANTANDER;RURAL
25320;GUADUAS;CUNDINAMARCA;RURAL
52320;GUAITARILLA;NARIÑO;URBANO
52323;GUALMATÁN;NARIÑO;URBANO
47318;GUAMAL;MAGDALENA;RURAL DISPERSO
50318;GUAMAL;META;RURAL
73319;GUAMO;TOLIMA;URBANO
19318;GUAPÍ;CAUCA;RURAL
70265;GUARANDA;SUCRE;RURAL
5318;GUARNE;ANTIOQUIA;URBANO
25322;GUASCA;CUNDINAMARCA;RURAL
5321;GUATAPÉ;ANTIOQUIA;URBANO
25324;GUATAQUÍ;CUNDINAMARCA;RURAL
25326;GUATAVITA;CUNDINAMARCA;RURAL DISPERSO
15322;GUATEQUE;BOYACÁ;URBANO
66318;GUÁTICA;RISARALDA;URBANO
68324;GUAVATÁ;SANTANDER;RURAL
25328;GUAYABAL DE SÍQUIMA;CUNDINAMARCA;RURAL
25335;GUAYABETAL;CUNDINAMARCA;RURAL
68327;GÜEPSA;SANTANDER;URBANO
15332;GÜICÁN DE LA SIERRA;BOYACÁ;RURAL DISPERSO
25339;GUTIÉRREZ;CUNDINAMARCA;RURAL DISPERSO
54344;HACARÍ;NORTE DE SANTANDER;RURAL DISPERSO
13300;HATILLO DE LOBA;BOLÍVAR;RURAL
68344;HATO;SANTANDER;RURAL
85125;HATO COROZAL;CASANARE;RURAL DISPERSO
44378;HATONUEVO;LA GUAJIRA;URBANO
5347;HELICONIA;ANTIOQUIA;URBANO
73347;HERVEO;TOLIMA;RURAL DISPERSO
5353;HISPANIA;ANTIOQUIA;URBANO
41349;HOBO;HUILA;RURAL
73349;HONDA;TOLIMA;URBANO
73001;IBAGUÉ;TOLIMA;URBANO
73352;ICONONZO;TOLIMA;URBANO
52352;ILES;NARIÑO;URBANO
52354;IMUÉS;NARIÑO;RURAL
94001;INÍRIDA;GUAINÍA;RURAL DISPERSO
19355;INZÁ;CAUCA;RURAL DISPERSO
52356;IPIALES;NARIÑO;URBANO
41357;ÍQUIRA;HUILA;RURAL DISPERSO
41359;ISNOS;HUILA;RURAL DISPERSO
27361;ISTMINA;CHOCÓ;RURAL
5360;ITAGÜÍ;ANTIOQUIA;URBANO
5361;ITUANGO;ANTIOQUIA;RURAL DISPERSO
